"SKU*","Name","Brand","Primary Supplier Name","Supplier Item Code","UPC/EAN","Pick Zone"
"10101010","Product number 1","Unbranded/Generic","Company A","ABCDEF123","9411234560911","WH1-RACK9"
"10101011","Product number 2","Unbranded/Generic","Company A","ABCDEF124","9411234560912",""
"10101012","Product number 3","Unbranded/Generic","Company A","ABCDEF125","9411234560913",""
"10101013","Product number 4","Unbranded/Generic","Company A","ABCDEF126","9411234560914","WH1-FW1"
"10101014","Product number 5","Unbranded/Generic","Company A","ABCDEF127","9411234560915",""
"10101015","Product number 6","Unbranded/Generic","Company A","ABCDEF128","9411234560916","WH1-RACK9"
"10101016","Product number 7","Unbranded/Generic","Company A","ABCDEF129","9411234560917",""
"10101017","Product number 8","Unbranded/Generic","Company A","ABCDEF130","9411234560918",""
"10101018","Product number 9","Unbranded/Generic","Company A","ABCDEF131","9411234560919",""
"10101019","Product number 10","Unbranded/Generic","Company A","ABCDEF132","9411234560920",""
"10101020","Product number 11","Unbranded/Generic","Company A","ABCDEF133","9411234560921","WH1-RACK14"
"10101021","Product number 12","Unbranded/Generic","Company A","ABCDEF134","9411234560922",""
"10101022","Product number 13","Unbranded/Generic","Company A","ABCDEF135","9411234560923","WH1-RACK14"
"10101023","Product number 14","Unbranded/Generic","Company A","ABCDEF136","9411234560924",""
"10101024","Product number 15","Unbranded/Generic","Company A","ABCDEF137","9411234560925","WH1-RACK14"
"10101025","Product number 16","Unbranded/Generic","Company A","ABCDEF138","9411234560926",""
"10101026","Product number 17","Unbranded/Generic","Company A","ABCDEF139","9411234560927","WH1-RACK14"
"10101027","Product number 18","Unbranded/Generic","Company A","ABCDEF140","9411234560928",""
"10101028","Product number 19","Unbranded/Generic","Company A","ABCDEF141","9411234560929","WH2-ROOM3"
"10101029","Product number 20","Unbranded/Generic","Company A","ABCDEF142","9411234560930","WH1-RACK7"
"10101030","Product number 21","Unbranded/Generic","Company A","ABCDEF143","9411234560931",""
"10101031","Product number 22","Unbranded/Generic","Company A","ABCDEF144","9411234560932",""
"10101032","Product number 23","Unbranded/Generic","Company A","ABCDEF145","9411234560933",""
"10101033","Product number 24","Unbranded/Generic","Company A","ABCDEF146","9411234560934",""
"10101034","Product number 25","Unbranded/Generic","Company A","ABCDEF147","9411234560935",""
"10101035","Product number 26","Unbranded/Generic","Company A","ABCDEF148","9411234560936",""
"10101036","Product number 27","Unbranded/Generic","Company A","ABCDEF149","9411234560937",""
"10101037","Product number 28","Unbranded/Generic","Company A","ABCDEF150","9411234560938","WH1-RACK3"
"10101038","Product number 29","Unbranded/Generic","Company A","ABCDEF151","9411234560939",""
"10101039","Product number 30","Unbranded/Generic","Company A","ABCDEF152","9411234560940",""
"10101040","Product number 31","Unbranded/Generic","Company A","ABCDEF153","9411234560941","WH1-RACK1"
"10101041","Product number 32","Unbranded/Generic","Company A","ABCDEF154","9411234560942",""
"10101042","Product number 33","Unbranded/Generic","Company A","ABCDEF155","9411234560943",""
"10101043","Product number 34","Unbranded/Generic","Company A","ABCDEF156","9411234560944",""
"10101044","Product number 35","Unbranded/Generic","Company A","ABCDEF157","9411234560945",""
"10101045","Product number 36","Unbranded/Generic","Company A","ABCDEF158","9411234560946",""
"10101046","Product number 37","Unbranded/Generic","Company A","ABCDEF159","9411234560947","WH1-RACK3"
"10101047","Product number 38","Unbranded/Generic","Company A","ABCDEF160","9411234560948",""
"10101048","Product number 39","Unbranded/Generic","Company A","ABCDEF161","9411234560949",""
"10101049","Product number 40","Unbranded/Generic","Company A","ABCDEF162","9411234560950","WH1-RACK7"
"10101050","Product number 41","Unbranded/Generic","Company A","ABCDEF163","9411234560951",""
"10101051","Product number 42","Unbranded/Generic","Company A","ABCDEF164","9411234560952",""
"10101052","Product number 43","Unbranded/Generic","Company A","ABCDEF165","9411234560953","WH1-F-ROOM,WH2-P14"
"10101053","Product number 44","Unbranded/Generic","Company A","ABCDEF166","9411234560954","WH1-F-ROOM,WH2-P14"
"10101054","Product number 45","Unbranded/Generic","Company A","ABCDEF167","9411234560955","WH1-F-ROOM,WH2-P15"
"10101055","Product number 46","Unbranded/Generic","Company A","ABCDEF168","9411234560956","WH1-F-ROOM,WH2-P14"
"10101056","Product number 47","Unbranded/Generic","Company A","ABCDEF169","9411234560957","WH1-F-ROOM,WH2-P15"
"10101057","Product number 48","Unbranded/Generic","Company A","ABCDEF170","9411234560958","WH1-F-ROOM,WH2-P15"
"10101058","Product number 49","Unbranded/Generic","Company A","ABCDEF171","9411234560959","WH1-F-ROOM,WH2-P15"
"10101059","Product number 50","Unbranded/Generic","Company A","ABCDEF172","9411234560960","WH1-F-ROOM,WH2-P15"
"10101060","Product number 51","Unbranded/Generic","Company A","ABCDEF173","9411234560961","WH1-F-ROOM,WH2-P15"
"10101061","Product number 52","Unbranded/Generic","Company A","ABCDEF174","9411234560962","WH1-F-ROOM,WH2-P15"
